,pass_inc,pass_td_lng,fum,rush_yd,pass_td,rush_rz_att,pass_yd,pass_fd,pass_cmp_40p,cmp_pct,pass_cmp,off_snp,pass_sack,gs,pass_td_50p,bonus_pass_yd_300,pass_rz_att,rush_att,pass_att,rush_fd,bonus_pass_cmp_25,pass_rtg,pass_td_40p,pass_lng,rush_td,pass_sack_yds,penalty,bonus_pass_yd_400,gp,pass_air_yd,pass_int,rush_lng,calculated_fpts,fum_lost,pass_2pt,bonus_fd_qb,pass_rush_yd
119,4.0,3.0,0.0,4.0,1.0,0.0,52.0,3.0,0.0,171.43,8.0,17.0,1.0,0.0,0.0,0.0,3.0,1.0,12.0,0.0,0.0,259.9,0.0,23.0,0.0,1.0,0.0,0.0,4.0,-11.0,0.0,4.0,11.596666620175043,0.0,1.0,3.0,56.0
120,197.0,223.0,12.0,291.0,25.0,14.0,4113.0,181.0,3.0,1143.47,387.0,1096.0,27.0,17.0,1.0,4.0,82.0,62.0,584.0,22.0,8.0,1604.6,1.0,578.0,5.0,184.0,2.0,0.0,17.0,2111.0,8.0,155.0,413.6699963226914,9.0,3.0,203.0,4404.0
121,63.0,25.0,0.0,38.0,4.0,3.0,1252.0,61.0,2.0,460.85,117.0,356.0,11.0,5.0,0.0,0.0,11.0,19.0,180.0,5.0,0.0,590.8,0.0,242.0,2.0,68.0,0.0,0.0,7.0,873.0,5.0,33.0,101.1133322139581,0.0,1.0,66.0,1290.0
122,126.0,280.0,16.0,1143.0,17.0,25.0,2242.0,74.0,7.0,899.46,192.0,917.0,55.0,15.0,2.0,0.0,32.0,160.0,318.0,57.0,0.0,1247.9,3.0,553.0,8.0,359.0,1.0,0.0,15.0,1201.0,11.0,456.0,338.8799979954958,2.0,1.0,131.0,3385.0
123,144.0,109.0,4.0,237.0,7.0,11.0,2404.0,116.0,1.0,757.09,245.0,732.0,27.0,12.0,0.0,1.0,46.0,55.0,389.0,20.0,5.0,990.9,0.0,371.0,3.0,182.0,2.0,0.0,13.0,1334.0,9.0,131.0,189.45999785065652,1.0,2.0,136.0,2641.0
124,6.0,0.0,0.0,-2.0,0.0,0.0,33.0,2.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,4.7,0.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0,-8.813333362837632,0.0,0.0,2.0,31.0
125,27.0,110.0,4.0,0.0,5.0,1.0,781.0,32.0,2.0,281.85,65.0,207.0,6.0,2.0,0.0,1.0,9.0,10.0,92.0,0.0,0.0,393.2,0.0,145.0,0.0,40.0,2.0,0.0,4.0,411.0,3.0,4.0,60.08999928086996,3.0,0.0,32.0,781.0
126,45.0,4.0,2.0,21.0,1.0,0.0,534.0,25.0,0.0,353.09,60.0,146.0,6.0,2.0,0.0,0.0,9.0,14.0,105.0,1.0,0.0,435.0,0.0,138.0,0.0,40.0,0.0,0.0,7.0,342.0,3.0,18.0,10.259999522566794,2.0,0.0,26.0,555.0
127,37.0,13.0,3.0,137.0,2.0,11.0,658.0,29.0,1.0,327.33,75.0,268.0,7.0,4.0,0.0,0.0,15.0,43.0,112.0,11.0,1.0,394.3,0.0,125.0,1.0,34.0,0.0,0.0,6.0,409.0,3.0,52.0,78.45333274503548,0.0,0.0,40.0,795.0
128,6.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,33.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,42.4,0.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,-2.8300000205636024,0.0,0.0,1.0,23.0
129,134.0,232.0,9.0,89.0,10.0,6.0,2163.0,84.0,3.0,719.46,201.0,588.0,36.0,10.0,2.0,0.0,31.0,31.0,335.0,5.0,0.0,961.7,2.0,444.0,1.0,217.0,1.0,0.0,12.0,1004.0,8.0,57.0,114.95333139946064,2.0,0.0,89.0,2252.0
130,2.0,19.0,2.0,70.0,1.0,0.0,58.0,2.0,0.0,133.33,6.0,32.0,3.0,0.0,0.0,0.0,1.0,5.0,8.0,5.0,0.0,151.0,0.0,30.0,0.0,18.0,0.0,0.0,3.0,32.0,1.0,45.0,12.736666614810627,1.0,1.0,7.0,128.0
